"keys";"?plural";"?context";"pt_BR"
"MODAL_SESSION_ENDED_SIGN_IN_PRIMARY";"";"";"ENTRAR"
"MODAL_TRY_RESTARTING_APP";"";"";"Tente reiniciar o app."
"MODAL_YOU_CAN_RELOAD_THE_EXPERIENCE_OR";"";"";"Você pode recarregar a experiência ou entrar agora; ela continuará carregando em segundo plano."
"NOTIFICATIONS_CHECK_BACK_LATER_FOR_UPDATES";"";"";"Volte mais tarde para ver as novidades!"
"NOTIFICATIONS_LIMITED_PERFORMANCE";"";"";"Desempenho limitado"
"NOTIFICATIONS_NOTIFICATIONS";"";"";"NOTIFICAÇÕES"
"NOTIFICATIONS_NO_NOTIFICATIONS_YET";"";"";"Nenhuma notificação ainda"
"NOTIFICATIONS_READ_ALL";"";"";"MARCAR TUDO COMO LIDO"
"NOTIFICATIONS_SIGN_IN_TO_GET_NOTIFICATIONS";"";"";"Entre para receber notificações!"
"NOTIFICATIONS_YOUR_DEVICE_IS_BELOW_OUR_RECOMMENDED";"";"";"Seu dispositivo está abaixo das especificações recomendadas (iPhone 13/SE 2023)"
"NOTIFICATION_DAYS_AGO";"NOTIFICATION_DAYS_AGO_PLURAL";"";"há %d dia"
"";"";"";"há %d dias"
"NOTIFICATION_HOURS_AGO";"NOTIFICATION_HOURS_AGO_PLURAL";"";"há %d hora"
"";"";"";"há %d horas"
"NOTIFICATION_JUST_NOW";"";"";"agora mesmo"
"NOTIFICATION_MINUTES_AGO";"NOTIFICATION_MINUTES_AGO_PLURAL";"";"há %d minuto"
"";"";"";"há %d minutos"
"NOTIFICATION_YESTERDAY";"";"";"ontem"
"NOTIF_HEADER_BANNED_FROM_COMMUNITY";"";"";"Banido da comunidade"
"NOTIF_HEADER_BID_ACCEPTED";"";"";"Oferta aceita"
"NOTIF_HEADER_BID_RECEIVED";"";"";"Oferta recebida"
"NOTIF_HEADER_COMMUNITY_DELETED";"";"";"Comunidade excluída"
"NOTIF_HEADER_COMMUNITY_EVENT_ADDED";"";"";"Novo evento na comunidade"
"NOTIF_HEADER_COMMUNITY_INVITE_RECEIVED";"";"";"Convite para comunidade"
"NOTIF_HEADER_COMMUNITY_RENAMED";"";"";"Comunidade renomeada"
"NOTIF_HEADER_CO_AUTHOR_REQUESTED";"";"";"Pedido de coautoria"
"NOTIF_HEADER_DAO_ANNOUNCEMENT";"";"";"Comunicado da DAO"
"NOTIF_HEADER_DONT_MISS_OUT";"";"";"Não perca!"
"NOTIF_HEADER_EVENT_ENDED";"";"";"Evento encerrado"
"NOTIF_HEADER_EVENT_STARTED";"";"";"Evento iniciado"
"NOTIF_HEADER_FRIEND_REQUEST_ACCEPTED";"";"";"Pedido de amizade aceito!"
"NOTIF_HEADER_FRIEND_REQUEST_RECEIVED";"";"";"Pedido de amizade recebido"
"NOTIF_HEADER_ITEM_SOLD";"";"";"Item vendido"
"NOTIF_HEADER_LAND_UPDATE";"";"";"Novidades de LAND"
"NOTIF_HEADER_MEMBERSHIP_REQUEST_ACCEPTED";"";"";"Pedido de entrada aceito"
"NOTIF_HEADER_MEMBERSHIP_REQUEST_RECEIVED";"";"";"Pedido de entrada recebido"
"NOTIF_HEADER_NEW_BADGE_UNLOCKED";"";"";"Novo emblema desbloqueado!"
"NOTIF_HEADER_NOTIFICATION";"";"";"Notificação"
"NOTIF_HEADER_PROPOSAL_ENACTED";"";"";"Proposta aprovada"
"NOTIF_HEADER_REMOVED_FROM_COMMUNITY";"";"";"Você saiu da comunidade"
"NOTIF_HEADER_REWARD_ASSIGNED";"";"";"Recompensa atribuída"
"NOTIF_HEADER_REWARD_IN_PROGRESS";"";"";"Recompensa em andamento"
"NOTIF_HEADER_ROYALTIES_EARNED";"";"";"Royalties recebidos"
"NOTIF_HEADER_VOTING_ENDED";"";"";"Votação encerrada"
"NOTIF_HEADER_WORLD_ACCESS_RESTORED";"";"";"Acesso ao World restaurado"
"NOTIF_HEADER_WORLD_ACCESS_RESTRICTED";"";"";"Acesso ao World restrito"
"NOTIF_HEADER_WORLD_MISSING_RESOURCES";"";"";"Faltam recursos no World"
"NOTIF_HEADER_WORLD_PERMISSION_GRANTED";"";"";"Permissão de World concedida"
"NOTIF_HEADER_WORLD_PERMISSION_REVOKED";"";"";"Permissão de World revogada"
"NOTIF_HEADER_YOUR_COMMUNITY_HAS_BEEN_DELETED";"";"";"Sua comunidade foi excluída"
"NOTIF_LOCAL_BODY_DONT_MISS_ACTION";"";"";"Não perca a ação!"
"NOTIF_LOCAL_BODY_DRESS_UP";"";"";"Arrase no visual e seja a alma da festa"
"NOTIF_LOCAL_BODY_GANG_AWAITS";"";"";"Sua turma te espera, entre e aproveite!"
"NOTIF_LOCAL_BODY_GATHER_YOUR_CREW";"";"";"Junte sua galera e deixe sua marca!"
"NOTIF_LOCAL_BODY_HOP_IN";"";"";"Entre e não perca nada!"
"NOTIF_LOCAL_BODY_JOIN_YOUR_FRIENDS";"";"";"Encontre seus amigos e conheça gente nova!"
"NOTIF_LOCAL_BODY_MEET_YOUR_PEOPLE";"";"";"Participe e conheça a sua turma"
"NOTIF_LOCAL_EVENT_BEGINS";"";"";"{event} vai começar!"
"NOTIF_LOCAL_EVENT_IS_LIVE";"";"";"{event} está ao vivo!"
"NOTIF_LOCAL_EVENT_IS_ON";"";"";"{event} começou!"
"NOTIF_LOCAL_EVENT_IS_STARTING";"";"";"{event} está começando!"
"NOTIF_LOCAL_EVENT_STARTED";"";"";"{event} começou!"
"NOTIF_TITLE_ACCEPTED_YOUR_FRIEND_REQUEST";"";"";"aceitou seu pedido de amizade."
"NOTIF_TITLE_ACCEPTED_YOUR_FRIEND_REQUEST_2";"";"";"[color=#{color}]{name} [color=#ECEBED]aceitou seu pedido de amizade."
"NOTIF_TITLE_ACCEPTED_YOUR_FRIEND_REQUEST_3";"";"";"[color=#{color}]{name}[color=#A09BA8]#{tag} [color=#ECEBED]aceitou seu pedido de amizade."
"NOTIF_TITLE_AN_EVENT_HAS_ENDED";"";"";"Um evento foi encerrado"
"NOTIF_TITLE_AN_EVENT_HAS_STARTED";"";"";"Um evento começou"
"NOTIF_TITLE_A_PROPOSAL_HAS_BEEN_ENACTED";"";"";"Uma proposta foi aprovada"
"NOTIF_TITLE_COMMUNITY_RENAMED";"";"";"A comunidade [b][%s][/b] passou a se chamar [b][%s][/b]."
"NOTIF_TITLE_CONGRATS_YOURE_NOW_A_MEMBER_OF";"";"";"Parabéns! Agora você é membro da comunidade [b][%s][/b]."
"NOTIF_TITLE_EXPLORE_DECENTRALAND_AND_EARN_REWARDS";"";"";"Explore a Decentraland e ganhe recompensas!"
"NOTIF_TITLE_LAND_UPDATE_NOTIFICATION";"";"";"Notificação de novidades de LAND"
"NOTIF_TITLE_NEW_GOVERNANCE_ANNOUNCEMENT";"";"";"Novo comunicado de governança"
"NOTIF_TITLE_THE_COMMUNITY_HAS_ADDED_A_NEW";"";"";"A comunidade [b][%s][/b] adicionou um novo evento."
"NOTIF_TITLE_THE_COMMUNITY_HAS_BEEN_DELETED";"";"";"A comunidade [b][%s][/b] foi excluída."
"NOTIF_TITLE_THE_COMMUNITY_WAS_DELETED_FOR_VIOLATING";"";"";"A comunidade [b][%s][/b] foi excluída por violar as Diretrizes da Decentraland."
"NOTIF_TITLE_UNKNOWN_COMMUNITY";"";"";"Comunidade desconhecida"
"NOTIF_TITLE_VOTING_HAS_ENDED";"";"";"A votação foi encerrada"
"NOTIF_TITLE_WANTS_TO_BE_YOUR_FRIEND";"";"";"quer ser seu amigo!"
"NOTIF_TITLE_WANTS_TO_BE_YOUR_FRIEND_2";"";"";"[color=#{color}]{name} [color=#ECEBED]quer ser seu amigo!"
"NOTIF_TITLE_WANTS_TO_BE_YOUR_FRIEND_3";"";"";"[color=#{color}]{name}[color=#A09BA8]#{tag} [color=#ECEBED]quer ser seu amigo!"
"NOTIF_TITLE_WANTS_TO_JOIN_THE_COMMUNITY";"";"";"[b]%s[/b] quer entrar na comunidade [b]%s[/b]."
"NOTIF_TITLE_WORLD_PERMISSION_GRANTED";"";"";"Permissão de World concedida"
"NOTIF_TITLE_WORLD_PERMISSION_REVOKED";"";"";"Permissão de World revogada"
"NOTIF_TITLE_YOUR_REWARD_IS_IN_PROGRESS";"";"";"Sua recompensa está em andamento"
"NOTIF_TITLE_YOUR_WORLD_ACCESS_HAS_BEEN_RESTORED";"";"";"Seu acesso ao World foi restaurado"
"NOTIF_TITLE_YOUR_WORLD_ACCESS_HAS_BEEN_RESTRICTED";"";"";"Seu acesso ao World foi restrito"
"NOTIF_TITLE_YOUR_WORLD_IS_MISSING_RESOURCES";"";"";"Faltam recursos no seu World"
"NOTIF_TITLE_YOUVE_BEEN_ASSIGNED_A_REWARD";"";"";"Uma recompensa foi atribuída a você"
"NOTIF_TITLE_YOUVE_BEEN_BANNED_FROM_THE_COMMUNITY";"";"";"Você foi banido da comunidade [b][%s][/b]."
"NOTIF_TITLE_YOUVE_BEEN_INVITED_TO_JOIN_THE";"";"";"Você foi convidado a entrar na comunidade [b][%s][/b]."
"NOTIF_TITLE_YOUVE_BEEN_REMOVED_FROM_THE_COMMUNITY";"";"";"Você foi removido da comunidade [b][%s][/b]."
"NOTIF_TITLE_YOUVE_BEEN_REQUESTED_AS_CO_AUTHOR";"";"";"Você foi indicado como coautor"
"NOTIF_TITLE_YOUVE_UNLOCKED_A_NEW_BADGE";"";"";"Você desbloqueou um novo emblema!"
"OTP_CODE_INCORRECT";"";"";"Esse código não funcionou. Confira e tente novamente."
"OTP_CODE_SENT_TO";"";"";"Enviamos um código para %s"
"PLACE_DOWNLOAD_WARNING";"";"";"Pode baixar até %d MB de dados"
"PLACE_DURATION_DAY";"PLACE_DURATION_DAY_PLURAL";"";"%d DIA"
"";"";"";"%d DIAS"
"PLACE_DURATION_HR";"PLACE_DURATION_HR_PLURAL";"";"%d H"
"";"";"";"%d H"
"PLACE_DURATION_MIN";"PLACE_DURATION_MIN_PLURAL";"";"%d MIN"
"";"";"";"%d MIN"
"POPUP_WARNING_LOAD_THE_SCENES_ARROUND_YOU";"";"";"Carregar as scenes ao seu redor"
"POPUP_WARNING_PENDING_SCENES";"";"";"[center]Você tem scenes pendentes de carregamento. Para manter a experiência fluida, o carregamento acontece apenas quando você muda de scene. Se preferir carregá-las agora, toque no botão [b]Atualizar[/b] no canto superior esquerdo da tela, com o ícone [img]res://assets/ui/Reset.png[/img]"
"PROFILE_ABOUT_ME";"";"";"Sobre mim"
"PROFILE_ADD_FRIEND";"";"";"ADICIONAR AMIGO"
"PROFILE_ADD_LINK";"";"";"Adicionar link"
"PROFILE_ADD_LINK_CAPS";"";"";"ADICIONAR LINK"
"PROFILE_ADD_UP_TO_5_LINKS_TO";"";"";"Adicione até 5 links para seu site ou perfis em redes sociais."
"PROFILE_BASE";"";"";"BASE"
"PROFILE_BLOCK";"";"";"Bloquear"
"PROFILE_CANCEL_REQUEST";"";"";"CANCELAR PEDIDO"
"PROFILE_COUNTRY";"";"";"País"
"PROFILE_DESCRIBE_YOURSELF_IN_A_FEW_WORDS";"";"";"Descreva você em poucas palavras."
"PROFILE_DESCRIPTION";"";"";"Descrição"
"PROFILE_EDIT_PROFILE";"";"";"Editar perfil"
"PROFILE_EDIT_PROFILE_CAPS";"";"";"EDITAR PERFIL"
"PROFILE_EMPLOYMENT_STATUS";"";"";"Situação profissional"
"PROFILE_EQUIPPED";"";"";"equipado"
"PROFILE_E_G_INSTAGRAM";"";"";"ex.: Instagram"
"PROFILE_FRIEND";"";"";"AMIGO"
"PROFILE_GENDER";"";"";"Gênero"
"PROFILE_GENDER_AGENDER";"";"";"Agênero"
"PROFILE_GENDER_FEMALE";"";"";"Mulher"
"PROFILE_GENDER_FLUID";"";"";"Fluido"
"PROFILE_GENDER_MALE";"";"";"Homem"
"PROFILE_GENDER_NEUTRAL";"";"";"Neutro"
"PROFILE_GENDER_NON_BINARY";"";"";"Não binário"
"PROFILE_GENDER_OTHER";"";"";"Outro"
"PROFILE_GENDER_PANGENDER";"";"";"Pangênero"
"PROFILE_GENDER_QUEER";"";"";"Queer"
"PROFILE_GENDER_TRANSGENDER";"";"";"Transgênero"
"PROFILE_GENDER_TWO_SPIRIT";"";"";"Two-Spirit"
"PROFILE_HOBBY";"";"";"Hobby"
"PROFILE_HOBBY_CAPS";"";"";"HOBBY"
"PROFILE_LANGUAGE";"";"";"Idioma"
"PROFILE_LINK";"";"";"Link"
"PROFILE_LINKS";"";"";"Links"
"PROFILE_LINKS_CAPS";"";"";"LINKS"
"PROFILE_LINK_TITLE";"";"";"Título do link"
"PROFILE_LINK_URL_HTTPS";"";"";"URL do link (""https://"")"
"PROFILE_MUTE_CHAT";"";"";"Silenciar chat"
"PROFILE_ORIENTATION_ASEXUAL";"";"";"Assexual"
"PROFILE_ORIENTATION_BISEXUAL";"";"";"Bissexual"
"PROFILE_ORIENTATION_GAY";"";"";"Gay"
"PROFILE_ORIENTATION_HETEROSEXUAL";"";"";"Heterossexual"
"PROFILE_ORIENTATION_LESBIAN";"";"";"Lésbica"
"PROFILE_ORIENTATION_OTHER";"";"";"Outra"
"PROFILE_ORIENTATION_PANSEXUAL";"";"";"Pansexual"
"PROFILE_ORIENTATION_POLYSEXUAL";"";"";"Polissexual"
"PROFILE_ORIENTATION_QUEER";"";"";"Queer"
"PROFILE_PENDING";"";"";"PENDENTE"
"PROFILE_PROFESSION";"";"";"Profissão"
"PROFILE_PRONOUNS";"";"";"Pronomes"
"PROFILE_PRONOUN_HE_HIM";"";"";"Ele / Dele"
"PROFILE_PRONOUN_OTHER";"";"";"Outro"
"PROFILE_PRONOUN_PER_PER";"";"";"Per / Per"
"PROFILE_PRONOUN_SHE_HER";"";"";"Ela / Dela"
"PROFILE_PRONOUN_THEY_THEM";"";"";"Elu / Delu"
"PROFILE_PRONOUN_XE_XEM";"";"";"Xe / Xem"
"PROFILE_PRONOUN_ZE_HIR";"";"";"Ze / Hir"
"PROFILE_PRONOUN_ZE_ZIR";"";"";"Ze / Zir"
"PROFILE_REAL_NAME";"";"";"Nome real"
"PROFILE_RELATIONSHIP";"";"";"Relacionamento"
"PROFILE_RELATIONSHIP_DIVORCED";"";"";"Divorciado(a)"
"PROFILE_RELATIONSHIP_ENGAGED";"";"";"Noivo(a)"
"PROFILE_RELATIONSHIP_IN_AN_OPEN_RELATIONSHIP";"";"";"Em um relacionamento aberto"
"PROFILE_RELATIONSHIP_IN_A_RELATIONSHIP";"";"";"Em um relacionamento"
"PROFILE_RELATIONSHIP_IT_S_COMPLICATED";"";"";"É complicado"
"PROFILE_RELATIONSHIP_MARRIED";"";"";"Casado(a)"
"PROFILE_RELATIONSHIP_OTHER";"";"";"Outro"
"PROFILE_RELATIONSHIP_SEPARATED";"";"";"Separado(a)"
"PROFILE_RELATIONSHIP_SINGLE";"";"";"Solteiro(a)"
"PROFILE_RELATIONSHIP_STATUS";"";"";"Estado civil"
"PROFILE_RELATIONSHIP_WIDOWED";"";"";"Viúvo(a)"
"PROFILE_SAVE";"";"";"SALVAR"
"PROFILE_SEE_LESS";"";"";"VER MENOS"
"PROFILE_SEE_MORE";"";"";"VER MAIS"
"PROFILE_SELECT";"";"";"Selecionar"
"PROFILE_SEXUAL_ORIENTATION";"";"";"Orientação sexual"
"PROFILE_UNBLOCK";"";"";"Desbloquear"
"PROFILE_UNFRIEND";"";"";"Desfazer amizade"
"PROFILE_UNMUTE_CHAT";"";"";"Ativar som do chat"
"PROFILE_USE_THIS_SPACE_TO_DESCRIBE_YOURSELF";"";"";"Use este espaço para se descrever em poucas palavras."
"PROFILE_VIEW";"";"";"VER"
"PROFILE_WRITE_HERE";"";"";"Escreva aqui"
"REWARD_ALREADY_OWNED";"";"";"Você já tem esta recompensa."
"REWARD_CLAIM_FAILED";"";"";"Algo deu errado ao resgatar sua recompensa. Tente novamente."
"REWARD_ERROR_INVALID_RESPONSE";"";"";"Resposta inválida do servidor de recompensas."
"REWARD_ERROR_SERVER_UNREACHABLE";"";"";"Erro ao conectar com o servidor de recompensas."
"REWARD_ERROR_WALLET_REQUIRED";"";"";"Você precisa estar conectado com uma carteira para resgatar recompensas."
"REWARD_MODAL_CLAIMED";"";"";"RESGATADA"
"REWARD_MODAL_CLAIM_REWARD";"";"";"RESGATAR RECOMPENSA"
"REWARD_MODAL_YOURE_ALL_SET";"";"";"Tudo pronto"
"REWARD_MODAL_YOUR_EMAIL_HAS_BEEN_VERIFIED_ENJOY";"";"";"Seu e-mail foi verificado. 
Aproveite o Wearable grátis!"
"REWARD_MODAL_YOU_ALREADY_HAVE_THIS_REWARD";"";"";"Você já tem esta recompensa."
"REWARD_NOT_AVAILABLE";"";"";"Esta recompensa não está disponível no momento."
"REWARD_OUT_OF_STOCK";"";"";"Esta recompensa está esgotada."
"REWARD_SESSION_UNVERIFIED";"";"";"Não foi possível verificar sua sessão. Tente novamente em instantes."
"SETTINGS_ACCOUNT";"";"";"Conta"
"SETTINGS_ADJUSTS_GRAPHICS_AUTOMATICALLY_FOR_OPTIMAL_PERFORMANCE";"";"";"Ajusta os gráficos automaticamente para o melhor desempenho."
"SETTINGS_AUDIO";"";"";"Áudio"
"SETTINGS_AVATAR_EMOTE";"";"";"Avatar e Emotes"
"SETTINGS_CACHE_SIZE_GB";"";"";"{size} GB"
"SETTINGS_CACHE_SIZE_MB";"";"";"{size} MB"
"SETTINGS_CAMERA";"";"";"CÂMERA"
"SETTINGS_CAMERA_FIRST_PERSON";"";"";"Primeira pessoa"
"SETTINGS_CAMERA_THIRD_PERSON";"";"";"Terceira pessoa"
"SETTINGS_CHAT_SOCIAL";"";"";"CHAT E SOCIAL"
"SETTINGS_CLEAN_CACHE";"";"";"LIMPAR CACHE"
"SETTINGS_CLEARS_DOWNLOADED_FILES_USED_TO_SPEED";"";"";"Apaga os arquivos baixados que aceleram o carregamento. Podem ser excluídos com segurança."
"SETTINGS_CLOSE_CHAT_AFTER_SENDING";"";"";"Fechar o chat ao enviar"
"SETTINGS_CONTENT_POLICY";"";"";"Política de Conteúdo"
"SETTINGS_CURRENT_CACHE_SIZE";"";"";"Tamanho atual do cache"
"SETTINGS_CUSTOM_SKYBOX";"";"";"Skybox personalizado"
"SETTINGS_DELETE_ACCOUNT";"";"";"Excluir conta"
"SETTINGS_DEV_TOOLS";"";"";"Ferramentas de desenvolvimento"
"SETTINGS_DEV_TOOLS_CAPS";"";"";"FERRAMENTAS DE DESENVOLVIMENTO"
"SETTINGS_DISCORD";"";"";"Discord"
"SETTINGS_DYNAMIC_GRAPHICS";"";"";"Gráficos dinâmicos"
"SETTINGS_DYNAMIC_SKYBOX";"";"";"Skybox dinâmico"
"SETTINGS_FAST_DAY_NIGHT_CYCLE_10S";"";"";"Ciclo dia/noite rápido (10 s)"
"SETTINGS_GAMEPLAY";"";"";"Jogabilidade"
"SETTINGS_GRAPHICS";"";"";"Gráficos"
"SETTINGS_GRAPHICS_PROFILE";"";"";"Perfil gráfico"
"SETTINGS_GRAPHIC_PROFILE";"";"";"Perfil gráfico"
"SETTINGS_GRAPHIC_PROFILE_CUSTOM";"";"";"Personalizado"
"SETTINGS_GRAPHIC_PROFILE_HIGH";"";"";"Alto"
"SETTINGS_GRAPHIC_PROFILE_LOW";"";"";"Baixo"
"SETTINGS_GRAPHIC_PROFILE_MEDIUM";"";"";"Médio"
"SETTINGS_GRAPHIC_PROFILE_VERY_LOW";"";"";"Muito baixo"
"SETTINGS_HELP";"";"";"Ajuda"
"SETTINGS_HELP_CAPS";"";"";"AJUDA"
"SETTINGS_HIDE_INTERACTION_PROMPTS";"";"";"Ocultar avisos de interação"
"SETTINGS_HIDE_INTERFACE";"";"";"Ocultar a interface"
"SETTINGS_HIDE_PLAYER_NAMES";"";"";"Ocultar nomes dos jogadores"
"SETTINGS_HIDE_SCENE_INTERFACE";"";"";"Ocultar a interface da scene"
"SETTINGS_HIDE_THE_ON_SCREEN_INTERFACE_TO";"";"";"Oculta a interface na tela para fazer capturas limpas"
"SETTINGS_HIDE_VIEW_PROFILE";"";"";"Ocultar ""Ver perfil"""
"SETTINGS_INTERFACE";"";"";"Interface"
"SETTINGS_INTERFACE_CAPS";"";"";"INTERFACE"
"SETTINGS_LANGUAGE";"";"";"Idioma"
"SETTINGS_LANGUAGE_CAPS";"";"";"IDIOMA"
"SETTINGS_LANGUAGE_DESCRIPTION";"";"";"O idioma usado em toda a interface do app."
"SETTINGS_MARKETPLACE";"";"";"Marketplace"
"SETTINGS_MAX_ACTIVE_LIGHTS";"";"";"Máximo de luzes ativas"
"SETTINGS_MAX_CACHE_SIZE";"";"";"Tamanho máximo do cache"
"SETTINGS_MIC_AMPLIFICATION";"";"";"Amplificação do microfone"
"SETTINGS_MULTIPLAYER_DEBUG";"";"";"Depuração multijogador"
"SETTINGS_MUSIC_AMBIENT";"";"";"Música e ambiente"
"SETTINGS_OPEN_USER_DATA_FOLDER";"";"";"Abrir a pasta de dados do usuário"
"SETTINGS_PERFORMANCE";"";"";"DESEMPENHO"
"SETTINGS_PRIVACY_POLICY";"";"";"Política de Privacidade"
"SETTINGS_PROCESS_TICK_QUOTA";"";"";"Cota de ticks de processo"
"SETTINGS_RAYCAST_DEBUGGER";"";"";"Depurador de raycast"
"SETTINGS_REALM";"";"";"Realm"
"SETTINGS_REPORT";"";"";"DENUNCIAR"
"SETTINGS_REPORT_BUG";"";"";"Relatar um erro"
"SETTINGS_REPORT_CONTENT";"";"";"Denunciar conteúdo"
"SETTINGS_RESET_ALL";"";"";"REDEFINIR TUDO"
"SETTINGS_RETURN_TO_DISCOVER";"";"";"VOLTAR AO DESCOBRIR"
"SETTINGS_RUN_AVATAR_IMPOSTOR_BENCHMARK";"";"";"Executar benchmark de impostores de avatar"
"SETTINGS_SCENE";"";"";"Scene"
"SETTINGS_SCENE_LOGS_ENABLED";"";"";"Logs de scene ativados"
"SETTINGS_SCENE_PAUSED";"";"";"Scene pausada"
"SETTINGS_SETS_A_GRAPHICS_QUALITY_PRESET_FOR";"";"";"Define uma predefinição de qualidade gráfica para seu dispositivo."
"SETTINGS_SETS_HOW_MUCH_STORAGE_THE_APP";"";"";"Define quanto armazenamento o app pode usar."
"SETTINGS_SETTINGS";"";"";"Configurações"
"SETTINGS_SHOW_INTERACTABLE_AREA";"";"";"Mostrar a área interativa"
"SETTINGS_SHOW_REWARD_MODAL_MOBILEPET";"";"";"Mostrar modal de recompensa (MobilePet)"
"SETTINGS_SKYBOX_AFTERNOON";"";"";"Tarde"
"SETTINGS_SKYBOX_MIDDAY";"";"";"Meio-dia"
"SETTINGS_SKYBOX_MIDNIGHT";"";"";"Meia-noite"
"SETTINGS_SKYBOX_MORNING";"";"";"Manhã"
"SETTINGS_STORAGE";"";"";"Armazenamento"
"SETTINGS_TEMPORARY_FILES";"";"";"ARQUIVOS TEMPORÁRIOS"
"SETTINGS_TERMS_OF_USE";"";"";"Termos de Uso"
"SETTINGS_TEST_NOTIFICATION_WITH_EMOJIS";"";"";"Notificação de teste com emojis"
"SETTINGS_THE_CAMERA_MODE_IS_SET_BY";"";"";"O modo de câmera é definido pelo criador. Não pode ser alterado."
"SETTINGS_THE_SKYBOX_IS_SET_BY_THE";"";"";"O skybox é definido pelo criador. Não pode ser alterado."
"SETTINGS_THE_SKY_CHANGES_OVER_TIME_AS";"";"";"O céu muda com o tempo enquanto você joga."
"SETTINGS_URL";"";"";"URL"
"SETTINGS_VISUAL";"";"";"VISUAL"
"SETTINGS_VOICE_CHAT";"";"";"Chat de voz"
"SETTINGS_VOLUME";"";"";"VOLUME"
"SETTINGS_WEBSOCKET_STATE";"";"";"Estado do WebSocket:"
"SETTINGS_WEBSOCKET_URL";"";"";"URL do WebSocket"
"SHARE_EVENT_MESSAGE";"";"";"📍 Visite o evento '%s' por este link: %s"
"SHARE_PLACE_MESSAGE";"";"";"📍 Venha comigo para %s por este link: %s"
"SHARE_SCENE_MESSAGE";"";"";"📍 Venha comigo para %s por este link: %s"
"SNAP_CAROUSEL_RECOMMENDED_PLACES";"";"";"LUGARES RECOMENDADOS"
"SOCIAL_ITEM_ACCEPT";"";"";"ACEITAR"
"SOCIAL_ITEM_ADD_FRIEND";"";"";"ADICIONAR AMIGO"
"SOCIAL_ITEM_JUMP";"";"";"IR"
"SOCIAL_ITEM_PENDING";"";"";"PENDENTE"
"SOCIAL_ITEM_SOMEWHERE";"";"";"Em algum lugar"
"SOCIAL_ITEM_UNBLOCK";"";"";"DESBLOQUEAR"
"SOCIAL_ITEM_UNKNOWN_LOCATION";"";"";"Local desconhecido"
"SOCIAL_MUTUAL_FRIENDS";"SOCIAL_MUTUAL_FRIENDS_PLURAL";"";"%d amigo em comum"
"";"";"";"%d amigos em comum"
"TIP_CARD_FORMAT";"";"";"[b]Dica:[/b] %s"
"TIP_CARD_PLACEHOLDER";"";"";"[b]Dica:[/b] Explore milhares de scenes criadas por gente do mundo todo."
"TIP_CREATOR_HUB";"";"";"Use o Creator Hub para criar seus próprios lugares e experiências."
"TIP_EMOTES";"";"";"Use os Emotes para acenar, reagir ou comemorar. Toque no ícone de Emote para abrir a roda de Emotes."
"TIP_FRIENDS";"";"";"A Decentraland é melhor com amigos. Conheça gente nova e veja onde eles estão."
"TIP_WEARABLES";"";"";"Os Wearables definem sua aparência ao longo do tempo. Criados pela comunidade."
"TOAST_ADDRESS_COPIED";"";"";"Endereço copiado para a área de transferência"
"TOAST_BLOCK_FAILED";"";"";"Não foi possível bloquear"
"TOAST_COPIED";"";"";"Copiado"
"TOAST_NAME_COPIED";"";"";"Nome copiado para a área de transferência"
"TOAST_POOR_CONNECTION_BODY";"";"";"Sua conexão está instável. Alguns recursos podem não funcionar bem."
"TOAST_POOR_CONNECTION_TITLE";"";"";"Conexão ruim"
"TOAST_UNBLOCK_FAILED";"";"";"Não foi possível desbloquear"
"TOAST_WORLD_NOT_EXIST_BODY";"";"";"%s não existe."
"TOAST_WORLD_NOT_FOUND_TITLE";"";"";"World não encontrado"
"TOAST_WORLD_UNAVAILABLE_BODY";"";"";"Não foi possível carregar ""%s"": %s"
"TOAST_WORLD_UNAVAILABLE_TITLE";"";"";"World indisponível"
"TOAST_WORLD_UNREACHABLE_BODY";"";"";"Não foi possível acessar %s."
"TOOLTIP_ACTION_1";"";"";"Ação 1"
"TOOLTIP_ACTION_2";"";"";"Ação 2"
"TOOLTIP_ACTION_3";"";"";"Ação 3"
"TOOLTIP_ACTION_4";"";"";"Ação 4"
"TOOLTIP_ACTION_JUMP";"";"";"Pular"
"TOOLTIP_ACTION_PRIMARY";"";"";"Primária"
"TOOLTIP_ACTION_SECONDARY";"";"";"Secundária"
"TOOLTIP_ACTION_TAP";"";"";"Tocar"
"TOOLTIP_VIEW_PROFILE";"";"";"Ver perfil"
"UPDATE_AVAILABLE_A_NEW_VERSION_OF_DECENTRALAND_IS";"";"";"Uma nova versão da Decentraland está disponível. Atualize agora para ter as últimas correções e melhorias."
"UPDATE_AVAILABLE_LATER";"";"";"DEPOIS"
"UPDATE_AVAILABLE_UPDATE";"";"";"ATUALIZAR"
"UPDATE_AVAILABLE_UPDATE_AVAILABLE";"";"";"Atualização disponível"
"UPGRADE_MODAL_ADD_EMAIL_TO_UNLOCK_DECENTRALAND_ACROSS";"";"";"Adicione seu e-mail para usar a Decentraland em todos os dispositivos e garantir um"
"UPGRADE_MODAL_EXCLUSIVE_WEARABLE";"";"";"Wearable exclusivo."
"UPGRADE_MODAL_MAYBE_LATER";"";"";"TALVEZ DEPOIS"
"URL_POPUP_ARE_YOU_SURE_YOU_WANT_TO";"";"";"Tem certeza de que quer abrir este link?"
"URL_POPUP_CONTINUE";"";"";"CONTINUAR"
