"keys";"?plural";"?context";"en"
"NOTIF_HEADER_BID_ACCEPTED";"";"";"Bid Accepted"
"NOTIF_HEADER_BID_RECEIVED";"";"";"Bid Received"
"NOTIF_HEADER_COMMUNITY_DELETED";"";"";"Community Deleted"
"NOTIF_HEADER_COMMUNITY_EVENT_ADDED";"";"";"Community Event Added"
"NOTIF_HEADER_COMMUNITY_INVITE_RECEIVED";"";"";"Community Invite Received"
"NOTIF_HEADER_COMMUNITY_RENAMED";"";"";"Community Renamed"
"NOTIF_HEADER_CO_AUTHOR_REQUESTED";"";"";"Co-Author Requested"
"NOTIF_HEADER_DAO_ANNOUNCEMENT";"";"";"DAO Announcement"
"NOTIF_HEADER_DONT_MISS_OUT";"";"";"Don't Miss Out!"
"NOTIF_HEADER_EVENT";"";"";"Event"
"NOTIF_HEADER_ITEM_SOLD";"";"";"Item Sold"
"NOTIF_HEADER_LAND_UPDATE";"";"";"Land Update"
"NOTIF_HEADER_MEMBERSHIP_REQUEST_ACCEPTED";"";"";"Membership Request Accepted"
"NOTIF_HEADER_MEMBERSHIP_REQUEST_RECEIVED";"";"";"Membership Request Received"
"NOTIF_HEADER_NEW_BADGE_UNLOCKED";"";"";"New Badge Unlocked!"
"NOTIF_HEADER_NEW_ITEM_RECEIVED";"";"";"New Item Receive"
"NOTIF_HEADER_NOTIFICATION";"";"";"Notification"
"NOTIF_HEADER_PROPOSAL_ENACTED";"";"";"Proposal Enacted"
"NOTIF_HEADER_REMOVED_FROM_COMMUNITY";"";"";"Removed from Community"
"NOTIF_HEADER_REWARD_IN_PROGRESS";"";"";"Reward In Progress"
"NOTIF_HEADER_ROYALTIES_EARNED";"";"";"Royalties Earned"
"NOTIF_HEADER_VOTING_ENDED";"";"";"Voting Ended"
"NOTIF_HEADER_WORLD_ACCESS_RESTORED";"";"";"World Access Restored"
"NOTIF_HEADER_WORLD_ACCESS_RESTRICTED";"";"";"World Access Restricted"
"NOTIF_HEADER_WORLD_MISSING_RESOURCES";"";"";"World Missing Resources"
"NOTIF_HEADER_WORLD_PERMISSION_GRANTED";"";"";"World Permission Granted"
"NOTIF_HEADER_WORLD_PERMISSION_REVOKED";"";"";"World Permission Revoked"
"NOTIF_HEADER_YOUR_COMMUNITY_HAS_BEEN_DELETED";"";"";"Your Community Has Been Deleted"
"NOTIF_LOCAL_BODY_DONT_MISS_ACTION";"";"";"Don't miss out on the action!"
"NOTIF_LOCAL_BODY_DRESS_UP";"";"";"Dress up and be the soul of the party"
"NOTIF_LOCAL_BODY_GANG_AWAITS";"";"";"Your gang awaits, jump in and party on!"
"NOTIF_LOCAL_BODY_GATHER_YOUR_CREW";"";"";"Gather your crew and make your mark!"
"NOTIF_LOCAL_BODY_HOP_IN";"";"";"Hop in and don't miss a beat!"
"NOTIF_LOCAL_BODY_JOIN_YOUR_FRIENDS";"";"";"Join your friends and meet people!"
"NOTIF_LOCAL_BODY_MEET_YOUR_PEOPLE";"";"";"Join and meet your people"
"NOTIF_LOCAL_EVENT_BEGINS";"";"";"{event} Begins!"
"NOTIF_LOCAL_EVENT_IS_LIVE";"";"";"{event} is Live!"
"NOTIF_LOCAL_EVENT_IS_ON";"";"";"{event} is ON!"
"NOTIF_LOCAL_EVENT_IS_STARTING";"";"";"{event} is Starting!"
"NOTIF_LOCAL_EVENT_STARTED";"";"";"{event} Started!"
"NOTIF_TITLE_AN_EVENT_HAS_ENDED";"";"";"An event has ended"
"NOTIF_TITLE_AN_EVENT_HAS_STARTED";"";"";"An event has started"
"NOTIF_TITLE_A_PROPOSAL_HAS_BEEN_ENACTED";"";"";"A proposal has been enacted"
"NOTIF_TITLE_COMMUNITY_RENAMED";"";"";"The [b][{old_name}][/b] Community has been renamed to [b][{new_name}][/b]."
"NOTIF_TITLE_CONGRATS_YOURE_NOW_A_MEMBER_OF";"";"";"Congrats! You're now a member of the [b][{community}][/b] Community."
"NOTIF_TITLE_EXPLORE_DECENTRALAND_AND_EARN_REWARDS";"";"";"Explore Decentraland and earn rewards!"
"NOTIF_TITLE_LAND_UPDATE_NOTIFICATION";"";"";"Land update notification"
"NOTIF_TITLE_NEW_GOVERNANCE_ANNOUNCEMENT";"";"";"New governance announcement"
"NOTIF_TITLE_THE_COMMUNITY_HAS_ADDED_A_NEW";"";"";"The [b][{community}][/b] Community has added a new event."
"NOTIF_TITLE_THE_COMMUNITY_HAS_BEEN_DELETED";"";"";"The [b][{community}][/b] Community has been deleted."
"NOTIF_TITLE_THE_COMMUNITY_WAS_DELETED_FOR_VIOLATING";"";"";"The [b][{community}][/b] Community was deleted for violating Decentraland's Guidelines."
"NOTIF_TITLE_UNKNOWN_COMMUNITY";"";"";"Unknown Community"
"NOTIF_TITLE_VOTING_HAS_ENDED";"";"";"Voting has ended"
"NOTIF_TITLE_WANTS_TO_JOIN_THE_COMMUNITY";"";"";"[b]{name}[/b] wants to join the [b]{community}[/b] Community."
"NOTIF_TITLE_WORLD_PERMISSION_GRANTED";"";"";"World permission granted"
"NOTIF_TITLE_WORLD_PERMISSION_REVOKED";"";"";"World permission revoked"
"NOTIF_TITLE_YOUR_REWARD_IS_IN_PROGRESS";"";"";"Your reward is in progress"
"NOTIF_TITLE_YOUR_WORLD_ACCESS_HAS_BEEN_RESTORED";"";"";"Your world access has been restored"
"NOTIF_TITLE_YOUR_WORLD_ACCESS_HAS_BEEN_RESTRICTED";"";"";"Your world access has been restricted"
"NOTIF_TITLE_YOUR_WORLD_IS_MISSING_RESOURCES";"";"";"Your world is missing resources"
"NOTIF_TITLE_YOUVE_BEEN_ASSIGNED_A_REWARD";"";"";"You've been assigned a reward"
"NOTIF_TITLE_YOUVE_BEEN_BANNED_FROM_THE_COMMUNITY";"";"";"You've been banned from the [b][{community}][/b] Community."
"NOTIF_TITLE_YOUVE_BEEN_INVITED_TO_JOIN_THE";"";"";"You've been invited to join the [b][{community}][/b] Community."
"NOTIF_TITLE_YOUVE_BEEN_REMOVED_FROM_THE_COMMUNITY";"";"";"You've been removed from the [b][{community}][/b] Community."
"NOTIF_TITLE_YOUVE_BEEN_REQUESTED_AS_CO_AUTHOR";"";"";"You've been requested as co-author"
"NOTIF_TITLE_YOUVE_UNLOCKED_A_NEW_BADGE";"";"";"You've unlocked a new badge!"
"OTP_CODE_INCORRECT";"";"";"That code didn't work. Check it and try again."
"OTP_CODE_SENT_TO";"";"";"We sent a code to {email}"
"PLACE_DOWNLOAD_WARNING";"";"";"May download up to {megabytes}MB of data"
"PLACE_DURATION_DAY";"PLACE_DURATION_DAY_PLURAL";"";"{days} DAY"
"";"";"";"{days} DAYS"
"PLACE_DURATION_HR";"PLACE_DURATION_HR_PLURAL";"";"{hours} HR"
"";"";"";"{hours} HRS"
"PLACE_DURATION_MIN";"PLACE_DURATION_MIN_PLURAL";"";"{minutes} MIN"
"";"";"";"{minutes} MINS"
"POPUP_WARNING_LOAD_THE_SCENES_ARROUND_YOU";"";"";"Load the scenes arround you"
"POPUP_WARNING_PENDING_SCENES";"";"";"[center]You have scenes pending to be loaded. To maintain a smooth experience, loading will occur only when you change scenes. If you prefer to load them immediately, please press the [b]Refresh[/b] button at the Top Left of the screen with icon [img]res://assets/ui/Reset.png[/img]"
"PROFILE_ABOUT_ME";"";"";"About me"
"PROFILE_ADD_FRIEND";"";"";"ADD FRIEND"
"PROFILE_ADD_LINK";"";"";"Add Link"
"PROFILE_ADD_LINK_CAPS";"";"";"ADD LINK"
"PROFILE_ADD_UP_TO_5_LINKS_TO";"";"";"Add up to 5 links to your website or social profiles."
"PROFILE_BASE";"";"";"BASE"
"PROFILE_BLOCK";"";"";"Block"
"PROFILE_CANCEL_REQUEST";"";"";"CANCEL REQUEST"
"PROFILE_COUNTRY";"";"";"Country"
"PROFILE_DESCRIBE_YOURSELF_IN_A_FEW_WORDS";"";"";"Describe yourself in a few words."
"PROFILE_DESCRIPTION";"";"";"Description"
"PROFILE_EDIT_PROFILE";"";"";"Edit Profile"
"PROFILE_EDIT_PROFILE_CAPS";"";"";"EDIT PROFILE"
"PROFILE_EMPLOYMENT_STATUS";"";"";"Employment Status"
"PROFILE_EQUIPPED";"";"";"equipped"
"PROFILE_E_G_INSTAGRAM";"";"";"e.g. Instagram"
"PROFILE_FRIEND";"";"";"FRIEND"
"PROFILE_GENDER";"";"";"Gender"
"PROFILE_GENDER_AGENDER";"";"";"Agender"
"PROFILE_GENDER_FEMALE";"";"";"Female"
"PROFILE_GENDER_FLUID";"";"";"Fluid"
"PROFILE_GENDER_MALE";"";"";"Male"
"PROFILE_GENDER_NEUTRAL";"";"";"Neutral"
"PROFILE_GENDER_NON_BINARY";"";"";"Non-Binary"
"PROFILE_GENDER_OTHER";"";"";"Other"
"PROFILE_GENDER_PANGENDER";"";"";"Pangender"
"PROFILE_GENDER_QUEER";"";"";"Queer"
"PROFILE_GENDER_TRANSGENDER";"";"";"Transgender"
"PROFILE_GENDER_TWO_SPIRIT";"";"";"Two-Spirit"
"PROFILE_HOBBY";"";"";"Hobby"
"PROFILE_HOBBY_CAPS";"";"";"HOBBY"
"PROFILE_LANGUAGE";"";"";"Language"
"PROFILE_LINK";"";"";"Link"
"PROFILE_LINKS";"";"";"Links"
"PROFILE_LINKS_CAPS";"";"";"LINKS"
"PROFILE_LINK_TITLE";"";"";"Link Title"
"PROFILE_LINK_URL_HTTPS";"";"";"Link URL (""https://"")"
"PROFILE_MUTE_CHAT";"";"";"Mute chat"
"PROFILE_ORIENTATION_ASEXUAL";"";"";"Asexual"
"PROFILE_ORIENTATION_BISEXUAL";"";"";"Bisexual"
"PROFILE_ORIENTATION_GAY";"";"";"Gay"
"PROFILE_ORIENTATION_HETEROSEXUAL";"";"";"Heterosexual"
"PROFILE_ORIENTATION_LESBIAN";"";"";"Lesbian"
"PROFILE_ORIENTATION_OTHER";"";"";"Other"
"PROFILE_ORIENTATION_PANSEXUAL";"";"";"Pansexual"
"PROFILE_ORIENTATION_POLYSEXUAL";"";"";"Polysexual"
"PROFILE_ORIENTATION_QUEER";"";"";"Queer"
"PROFILE_PENDING";"";"";"PENDING"
"PROFILE_PROFESSION";"";"";"Profession"
"PROFILE_PRONOUNS";"";"";"Pronouns"
"PROFILE_PRONOUN_HE_HIM";"";"";"He / Him"
"PROFILE_PRONOUN_OTHER";"";"";"Other"
"PROFILE_PRONOUN_PER_PER";"";"";"Per / Per"
"PROFILE_PRONOUN_SHE_HER";"";"";"She / Her"
"PROFILE_PRONOUN_THEY_THEM";"";"";"They / Them"
"PROFILE_PRONOUN_XE_XEM";"";"";"Xe / Xem"
"PROFILE_PRONOUN_ZE_HIR";"";"";"Ze / Hir"
"PROFILE_PRONOUN_ZE_ZIR";"";"";"Ze / Zir"
"PROFILE_REAL_NAME";"";"";"Real Name"
"PROFILE_RELATIONSHIP";"";"";"Relationship"
"PROFILE_RELATIONSHIP_DIVORCED";"";"";"Divorced"
"PROFILE_RELATIONSHIP_ENGAGED";"";"";"Engaged"
"PROFILE_RELATIONSHIP_IN_AN_OPEN_RELATIONSHIP";"";"";"In an open relationship"
"PROFILE_RELATIONSHIP_IN_A_RELATIONSHIP";"";"";"In a relationship"
"PROFILE_RELATIONSHIP_IT_S_COMPLICATED";"";"";"It's complicated"
"PROFILE_RELATIONSHIP_MARRIED";"";"";"Married"
"PROFILE_RELATIONSHIP_OTHER";"";"";"Other"
"PROFILE_RELATIONSHIP_SEPARATED";"";"";"Separated"
"PROFILE_RELATIONSHIP_SINGLE";"";"";"Single"
"PROFILE_RELATIONSHIP_STATUS";"";"";"Relationship Status"
"PROFILE_RELATIONSHIP_WIDOWED";"";"";"Widowed"
"PROFILE_SAVE";"";"";"SAVE"
"PROFILE_SEE_LESS";"";"";"SEE LESS"
"PROFILE_SEE_MORE";"";"";"SEE MORE"
"PROFILE_SELECT";"";"";"Select"
"PROFILE_SEXUAL_ORIENTATION";"";"";"Sexual Orientation"
"PROFILE_UNBLOCK";"";"";"Unblock"
"PROFILE_UNFRIEND";"";"";"Unfriend"
"PROFILE_UNMUTE_CHAT";"";"";"Unmute chat"
"PROFILE_USE_THIS_SPACE_TO_DESCRIBE_YOURSELF";"";"";"Use this space to describe yourself in a few words."
"PROFILE_VIEW";"";"";"VIEW"
"PROFILE_WRITE_HERE";"";"";"Write here"
"REWARD_ALREADY_OWNED";"";"";"You already have this reward."
"REWARD_CLAIM_FAILED";"";"";"Something went wrong claiming your reward. Please try again."
"REWARD_ERROR_INVALID_RESPONSE";"";"";"Invalid response from the rewards server."
"REWARD_ERROR_SERVER_UNREACHABLE";"";"";"Error reaching the rewards server."
"REWARD_ERROR_WALLET_REQUIRED";"";"";"You must be connected with a wallet to claim rewards."
"REWARD_MODAL_CLAIMED";"";"";"CLAIMED"
"REWARD_MODAL_CLAIM_REWARD";"";"";"CLAIM REWARD"
"REWARD_MODAL_YOURE_ALL_SET";"";"";"You're all set"
"REWARD_MODAL_YOUR_EMAIL_HAS_BEEN_VERIFIED_ENJOY";"";"";"Your email has been verified. 
Enjoy the free wearable!"
"REWARD_MODAL_YOU_ALREADY_HAVE_THIS_REWARD";"";"";"You already have this reward."
"REWARD_NOT_AVAILABLE";"";"";"This reward is not available right now."
"REWARD_OUT_OF_STOCK";"";"";"This reward is out of stock."
"REWARD_SESSION_UNVERIFIED";"";"";"We couldn't verify your session. Please try again in a moment."
"SETTINGS_ACCOUNT";"";"";"Account"
"SETTINGS_ADJUSTS_GRAPHICS_AUTOMATICALLY_FOR_OPTIMAL_PERFORMANCE";"";"";"Adjusts graphics automatically for optimal performance."
"SETTINGS_AUDIO";"";"";"Audio"
"SETTINGS_AVATAR_EMOTE";"";"";"Avatar & Emote"
"SETTINGS_CACHE_SIZE_GB";"";"";"{size} GB"
"SETTINGS_CACHE_SIZE_MB";"";"";"{size} MB"
"SETTINGS_CAMERA";"";"";"CAMERA"
"SETTINGS_CAMERA_FIRST_PERSON";"";"";"First person"
"SETTINGS_CAMERA_THIRD_PERSON";"";"";"Third person"
"SETTINGS_CHAT_SOCIAL";"";"";"CHAT & SOCIAL"
"SETTINGS_CLEAN_CACHE";"";"";"CLEAN CACHE"
"SETTINGS_CLEARS_DOWNLOADED_FILES_USED_TO_SPEED";"";"";"Clears downloaded files used to speed up loading. Safe to delete."
"SETTINGS_CLOSE_CHAT_AFTER_SENDING";"";"";"Close Chat After Sending"
"SETTINGS_CONTENT_POLICY";"";"";"Content Policy"
"SETTINGS_CURRENT_CACHE_SIZE";"";"";"Current Cache Size"
"SETTINGS_CUSTOM_SKYBOX";"";"";"Custom Skybox"
"SETTINGS_DELETE_ACCOUNT";"";"";"Delete Account"
"SETTINGS_DEV_TOOLS";"";"";"Dev Tools"
"SETTINGS_DEV_TOOLS_CAPS";"";"";"DEV TOOLS"
"SETTINGS_DISCORD";"";"";"Discord"
"SETTINGS_DYNAMIC_GRAPHICS";"";"";"Dynamic Graphics"
"SETTINGS_DYNAMIC_SKYBOX";"";"";"Dynamic Skybox"
"SETTINGS_FAST_DAY_NIGHT_CYCLE_10S";"";"";"Fast Day/Night Cycle (10s)"
"SETTINGS_GAMEPLAY";"";"";"Gameplay"
"SETTINGS_GRAPHICS";"";"";"Graphics"
"SETTINGS_GRAPHICS_PROFILE";"";"";"Graphics Profile"
"SETTINGS_GRAPHIC_PROFILE";"";"";"Graphic Profile"
"SETTINGS_GRAPHIC_PROFILE_CUSTOM";"";"";"Custom"
"SETTINGS_GRAPHIC_PROFILE_HIGH";"";"";"High"
"SETTINGS_GRAPHIC_PROFILE_LOW";"";"";"Low"
"SETTINGS_GRAPHIC_PROFILE_MEDIUM";"";"";"Medium"
"SETTINGS_GRAPHIC_PROFILE_VERY_LOW";"";"";"Very Low"
"SETTINGS_HELP";"";"";"Help"
"SETTINGS_HELP_CAPS";"";"";"HELP"
"SETTINGS_HIDE_INTERACTION_PROMPTS";"";"";"Hide Interaction Prompts"
"SETTINGS_HIDE_INTERFACE";"";"";"Hide Interface"
"SETTINGS_HIDE_PLAYER_NAMES";"";"";"Hide Player Names"
"SETTINGS_HIDE_SCENE_INTERFACE";"";"";"Hide Scene Interface"
"SETTINGS_HIDE_THE_ON_SCREEN_INTERFACE_TO";"";"";"Hide the on-screen interface to take clean screenshots"
"SETTINGS_HIDE_VIEW_PROFILE";"";"";"Hide ""View Profile"""
"SETTINGS_INTERFACE";"";"";"Interface"
"SETTINGS_INTERFACE_CAPS";"";"";"INTERFACE"
"SETTINGS_LANGUAGE";"";"";"Language"
"SETTINGS_LANGUAGE_CAPS";"";"";"LANGUAGE"
"SETTINGS_LANGUAGE_DESCRIPTION";"";"";"The language used across the app's interface."
"SETTINGS_MAX_ACTIVE_LIGHTS";"";"";"Max Active Lights"
"SETTINGS_MAX_CACHE_SIZE";"";"";"Max Cache Size"
"SETTINGS_MIC_AMPLIFICATION";"";"";"Mic Amplification"
"SETTINGS_MULTIPLAYER_DEBUG";"";"";"Multiplayer Debug"
"SETTINGS_MUSIC_AMBIENT";"";"";"Music & Ambient"
"SETTINGS_OPEN_USER_DATA_FOLDER";"";"";"Open User Data Folder"
"SETTINGS_PARTICLES";"";"";"Particles"
"SETTINGS_PARTICLES_OFF";"";"";"Off"
"SETTINGS_PERFORMANCE";"";"";"PERFORMANCE"
"SETTINGS_PRIVACY_POLICY";"";"";"Privacy Policy"
"SETTINGS_PROCESS_TICK_QUOTA";"";"";"Process Tick Quota"
"SETTINGS_RAYCAST_DEBUGGER";"";"";"Raycast Debugger"
"SETTINGS_REALM";"";"";"Realm"
"SETTINGS_REPORT";"";"";"REPORT"
"SETTINGS_REPORT_BUG";"";"";"Report Bug"
"SETTINGS_REPORT_CONTENT";"";"";"Report Content"
"SETTINGS_RESET_ALL";"";"";"RESET ALL"
"SETTINGS_RETURN_TO_DISCOVER";"";"";"RETURN TO DISCOVER"
"SETTINGS_RUN_AVATAR_IMPOSTOR_BENCHMARK";"";"";"Run Avatar Impostor Benchmark"
"SETTINGS_SCENE";"";"";"Scene"
"SETTINGS_SCENE_LOGS_ENABLED";"";"";"Scene Logs Enabled"
"SETTINGS_SCENE_PAUSED";"";"";"Scene Paused"
"SETTINGS_SETS_A_GRAPHICS_QUALITY_PRESET_FOR";"";"";"Sets a graphics quality preset for your device."
"SETTINGS_SETS_HOW_MUCH_STORAGE_THE_APP";"";"";"Sets how much storage the app can use."
"SETTINGS_SETTINGS";"";"";"Settings"
"SETTINGS_SHOP";"";"";"Shop"
"SETTINGS_SHOW_INTERACTABLE_AREA";"";"";"Show Interactable Area"
"SETTINGS_SHOW_REWARD_MODAL_MOBILEPET";"";"";"Show Reward Modal (MobilePet)"
"SETTINGS_SKYBOX_AFTERNOON";"";"";"Afternoon"
"SETTINGS_SKYBOX_MIDDAY";"";"";"Midday"
"SETTINGS_SKYBOX_MIDNIGHT";"";"";"Midnight"
"SETTINGS_SKYBOX_MORNING";"";"";"Morning"
"SETTINGS_STORAGE";"";"";"Storage"
"SETTINGS_TEMPORARY_FILES";"";"";"TEMPORARY FILES"
"SETTINGS_TERMS_OF_USE";"";"";"Terms of Use"
"SETTINGS_TEST_NOTIFICATION_WITH_EMOJIS";"";"";"Test Notification with Emojis"
"SETTINGS_THE_CAMERA_MODE_IS_SET_BY";"";"";"The camera mode is set by the creator. It can't be changed."
"SETTINGS_THE_SKYBOX_IS_SET_BY_THE";"";"";"The skybox is set by the creator. It can’t be changed."
"SETTINGS_THE_SKY_CHANGES_OVER_TIME_AS";"";"";"The sky changes over time as you play."
"SETTINGS_URL";"";"";"URL"
"SETTINGS_VIEW_DISTANCE";"";"";"View Distance"
"SETTINGS_VISUAL";"";"";"VISUAL"
"SETTINGS_VOICE_CHAT";"";"";"Voice Chat"
"SETTINGS_VOLUME";"";"";"VOLUME"
"SETTINGS_WEBSOCKET_STATE";"";"";"WebSocket state:"
"SETTINGS_WEBSOCKET_URL";"";"";"WebSocket URL"
"SHARE_EVENT_MESSAGE";"";"";"📍 Visit the event '{event}' following this link: {link}"
"SHARE_PLACE_MESSAGE";"";"";"📍 Join me at {place} following this link: {link}"
"SHARE_SCENE_MESSAGE";"";"";"📍 Join Me At {scene} following this link: {link}"
"SNAP_CAROUSEL_RECOMMENDED_PLACES";"";"";"RECOMMENDED PLACES"
"SOCIAL_ITEM_ADD_FRIEND";"";"";"ADD FRIEND"
"SOCIAL_ITEM_PENDING";"";"";"PENDING"
"SOCIAL_ITEM_SOMEWHERE";"";"";"Somewhere"
"SOCIAL_ITEM_UNBLOCK";"";"";"UNBLOCK"
"SOCIAL_ITEM_UNKNOWN_LOCATION";"";"";"Unknown Location"
"SOCIAL_MUTUAL_FRIENDS";"SOCIAL_MUTUAL_FRIENDS_PLURAL";"";"{friends} Mutual Friend"
"";"";"";"{friends} Mutual Friends"
"TIP_CARD_FORMAT";"";"";"[b]Tip:[/b] {tip}"
"TIP_CARD_PLACEHOLDER";"";"";"[b]Tip:[/b] Explore thousands of scenes built by creators from around the world."
"TIP_CREATOR_HUB";"";"";"Use the Creator Hub to build your own places and experiences."
"TIP_EMOTES";"";"";"Use Emotes to wave, react, or celebrate. Tap the Emote icon to open the Emote Wheel."
"TIP_FRIENDS";"";"";"Decentraland is better with friends. Meet new people and see where they’re hanging out."
"TIP_WEARABLES";"";"";"Wearables shape how you appear over time. Made by the community."
"TOAST_ADDRESS_COPIED";"";"";"Address copied to clipboard"
"TOAST_BLOCK_FAILED";"";"";"Block failed"
"TOAST_COPIED";"";"";"Copied"
"TOAST_NAME_COPIED";"";"";"Name copied to clipboard"
"TOAST_POOR_CONNECTION_BODY";"";"";"Your connection is unstable. Some features may not work properly."
"TOAST_POOR_CONNECTION_TITLE";"";"";"Poor connection"
"TOAST_UNBLOCK_FAILED";"";"";"Unblock failed"
"TOAST_WORLD_NOT_EXIST_BODY";"";"";"{world} does not exist."
"TOAST_WORLD_NOT_FOUND_TITLE";"";"";"World not found"
"TOAST_WORLD_UNAVAILABLE_BODY";"";"";"Could not load ""{world}"": {error}"
"TOAST_WORLD_UNAVAILABLE_TITLE";"";"";"World unavailable"
"TOAST_WORLD_UNREACHABLE_BODY";"";"";"{world} could not be reached."
"TOOLTIP_ACTION_1";"";"";"Action 1"
"TOOLTIP_ACTION_2";"";"";"Action 2"
"TOOLTIP_ACTION_3";"";"";"Action 3"
"TOOLTIP_ACTION_4";"";"";"Action 4"
"TOOLTIP_ACTION_JUMP";"";"";"Jump"
"TOOLTIP_ACTION_PRIMARY";"";"";"Primary"
"TOOLTIP_ACTION_SECONDARY";"";"";"Secondary"
"TOOLTIP_ACTION_TAP";"";"";"Tap"
"TOOLTIP_VIEW_PROFILE";"";"";"View profile"
"UPDATE_AVAILABLE_A_NEW_VERSION_OF_DECENTRALAND_IS";"";"";"A new version of Decentraland is available. Update now for the latest fixes and improvements."
"UPDATE_AVAILABLE_LATER";"";"";"LATER"
"UPDATE_AVAILABLE_UPDATE";"";"";"UPDATE"
"UPDATE_AVAILABLE_UPDATE_AVAILABLE";"";"";"Update available"
"UPGRADE_MODAL_ADD_EMAIL_TO_UNLOCK_DECENTRALAND_ACROSS";"";"";"Add email to unlock Decentraland across devices and claim an"
"UPGRADE_MODAL_EXCLUSIVE_WEARABLE";"";"";"exclusive Wearable."
"UPGRADE_MODAL_MAYBE_LATER";"";"";"MAYBE LATER"
"URL_POPUP_ARE_YOU_SURE_YOU_WANT_TO";"";"";"Are you sure you want to follow this link?"
"URL_POPUP_CONTINUE";"";"";"CONTINUE"
"URL_POPUP_CONTINUING_WILL_OPEN_THE_LINK_IN";"";"";"Continuing will open the link in your browser. Make sure it's a website you trust before proceeding."
"USERNAME_PICKER_NAME";"";"";"Name"
"USERNAME_PICKER_NON_UNIQUE_NAME";"";"";"NON-UNIQUE NAME"
"USERNAME_PICKER_UNIQUE_NAME";"";"";"UNIQUE NAME"
"USERNAME_PICKER_USERNAME";"";"";"Username"
"WEARABLE_BUTTON_BODY";"";"";"Body"
"WEARABLE_BUTTON_UNKNOWN";"";"";"Unknown"
"WEARABLE_CATEGORY_ALL";"";"";"All"
"WEARABLE_CATEGORY_BODY";"";"";"Body"
"WEARABLE_CATEGORY_CHEST";"";"";"Chest"
"WEARABLE_CATEGORY_CLOTHING";"";"";"Clothing"
"WEARABLE_CATEGORY_EARRINGS";"";"";"Earrings"
"WEARABLE_CATEGORY_EXTRAS";"";"";"Extras"
"WEARABLE_CATEGORY_EYEBROWS";"";"";"Eyebrows"
"WEARABLE_CATEGORY_EYES";"";"";"Eyes"
"WEARABLE_CATEGORY_FACE";"";"";"Face"
"WEARABLE_CATEGORY_FACIAL_HAIR";"";"";"Facial Hair"
"WEARABLE_CATEGORY_FEET";"";"";"Feet"
"WEARABLE_CATEGORY_GLASSES";"";"";"Glasses"
"WEARABLE_CATEGORY_HAIR";"";"";"Hair"
"WEARABLE_CATEGORY_HANDS";"";"";"Hands"
"WEARABLE_CATEGORY_HATS";"";"";"Hats"
"WEARABLE_CATEGORY_HEAD";"";"";"Head"
"WEARABLE_CATEGORY_HELMETS";"";"";"Helmets"
"WEARABLE_CATEGORY_LEGS";"";"";"Legs"
"WEARABLE_CATEGORY_MASKS";"";"";"Masks"
"WEARABLE_CATEGORY_MOUTH";"";"";"Mouth"
"WEARABLE_CATEGORY_SHAPE";"";"";"Shape"
"WEARABLE_CATEGORY_SKIN";"";"";"Skin"
"WEARABLE_CATEGORY_TIARAS";"";"";"Tiaras"
"WEARABLE_CATEGORY_TOP_HEAD";"";"";"Top Head"
"WEARABLE_ITEM_DETAIL";"";"";"DETAIL"
"WEARABLE_ITEM_GET_CREDITS";"";"";"GET CREDITS"
"WEARABLE_ITEM_NEW";"";"";"NEW"
