"keys";"?plural";"?context";"es"
"MODAL_SCENE_CRASH_PRIMARY";"";"";"RECARGAR"
"MODAL_SCENE_CRASH_SECONDARY";"";"";"ATRÁS"
"MODAL_SCENE_CRASH_TITLE";"";"";"Error de scene"
"MODAL_SCENE_TIMEOUT_BODY";"";"";"Puedes recargar la experiencia o entrar ya; seguirá cargándose en segundo plano."
"MODAL_SCENE_TIMEOUT_PRIMARY";"";"";"RECARGAR"
"MODAL_SCENE_TIMEOUT_SECONDARY";"";"";"ENTRAR IGUALMENTE"
"MODAL_SCENE_TIMEOUT_TITLE";"";"";"La carga está tardando más de lo previsto"
"MODAL_SESSION_ENDED_DUPLICATE_BODY";"";"";"Tu sesión ha terminado porque se ha iniciado sesión con tu cuenta desde otro lugar."
"MODAL_SESSION_ENDED_DUPLICATE_TITLE";"";"";"Sesión finalizada"
"MODAL_SESSION_ENDED_OTHER_BODY";"";"";"Te has desconectado del servidor. Inténtalo más tarde."
"MODAL_SESSION_ENDED_OTHER_TITLE";"";"";"Sin conexión"
"MODAL_SESSION_ENDED_RETRY_PRIMARY";"";"";"RECONECTAR"
"MODAL_SESSION_ENDED_ROOM_CLOSED_BODY";"";"";"La sala en la que estabas se ha cerrado."
"MODAL_SESSION_ENDED_ROOM_CLOSED_TITLE";"";"";"Sala cerrada"
"MODAL_SESSION_ENDED_SECONDARY";"";"";"SALIR"
"MODAL_SESSION_ENDED_SIGN_IN_PRIMARY";"";"";"INICIAR SESIÓN"
"MODAL_TRY_RESTARTING_APP";"";"";"Prueba a reiniciar la app."
"MODAL_YOU_CAN_RELOAD_THE_EXPERIENCE_OR";"";"";"Puedes recargar la experiencia o entrar ya; seguirá cargándose en segundo plano."
"NOTIFICATIONS_CHECK_BACK_LATER_FOR_UPDATES";"";"";"¡Vuelve más tarde para ver las novedades!"
"NOTIFICATIONS_LIMITED_PERFORMANCE";"";"";"Rendimiento limitado"
"NOTIFICATIONS_NOTIFICATIONS";"";"";"NOTIFICACIONES"
"NOTIFICATIONS_NO_NOTIFICATIONS_YET";"";"";"Aún no hay notificaciones"
"NOTIFICATIONS_READ_ALL";"";"";"MARCAR TODO COMO LEÍDO"
"NOTIFICATIONS_SIGN_IN_TO_GET_NOTIFICATIONS";"";"";"¡Inicia sesión para recibir notificaciones!"
"NOTIFICATIONS_YOUR_DEVICE_IS_BELOW_OUR_RECOMMENDED";"";"";"Tu dispositivo está por debajo de las características recomendadas (iPhone 13/SE 2023)"
"NOTIFICATION_DAYS_AGO";"NOTIFICATION_DAYS_AGO_PLURAL";"";"hace {days} día"
"";"";"";"hace {days} días"
"NOTIFICATION_HOURS_AGO";"NOTIFICATION_HOURS_AGO_PLURAL";"";"hace {hours} hora"
"";"";"";"hace {hours} horas"
"NOTIFICATION_JUST_NOW";"";"";"ahora mismo"
"NOTIFICATION_MINUTES_AGO";"NOTIFICATION_MINUTES_AGO_PLURAL";"";"hace {minutes} minuto"
"";"";"";"hace {minutes} minutos"
"NOTIFICATION_YESTERDAY";"";"";"ayer"
"NOTIF_HEADER_BANNED_FROM_COMMUNITY";"";"";"Baneado de la comunidad"
"NOTIF_HEADER_BID_ACCEPTED";"";"";"Oferta aceptada"
"NOTIF_HEADER_BID_RECEIVED";"";"";"Oferta recibida"
"NOTIF_HEADER_COMMUNITY_DELETED";"";"";"Comunidad eliminada"
"NOTIF_HEADER_COMMUNITY_EVENT_ADDED";"";"";"Nuevo evento en la comunidad"
"NOTIF_HEADER_COMMUNITY_INVITE_RECEIVED";"";"";"Invitación a una comunidad"
"NOTIF_HEADER_COMMUNITY_RENAMED";"";"";"Comunidad renombrada"
"NOTIF_HEADER_CO_AUTHOR_REQUESTED";"";"";"Solicitud de coautoría"
"NOTIF_HEADER_DAO_ANNOUNCEMENT";"";"";"Anuncio de la DAO"
"NOTIF_HEADER_DONT_MISS_OUT";"";"";"¡No te lo pierdas!"
"NOTIF_HEADER_EVENT_ENDED";"";"";"Evento finalizado"
"NOTIF_HEADER_EVENT_STARTED";"";"";"Evento iniciado"
"NOTIF_HEADER_FRIEND_REQUEST_ACCEPTED";"";"";"¡Solicitud de amistad aceptada!"
"NOTIF_HEADER_FRIEND_REQUEST_RECEIVED";"";"";"Solicitud de amistad recibida"
"NOTIF_HEADER_ITEM_SOLD";"";"";"Artículo vendido"
"NOTIF_HEADER_LAND_UPDATE";"";"";"Novedades de LAND"
"NOTIF_HEADER_MEMBERSHIP_REQUEST_ACCEPTED";"";"";"Solicitud de ingreso aceptada"
"NOTIF_HEADER_MEMBERSHIP_REQUEST_RECEIVED";"";"";"Solicitud de ingreso recibida"
"NOTIF_HEADER_NEW_BADGE_UNLOCKED";"";"";"¡Nueva insignia desbloqueada!"
"NOTIF_HEADER_NOTIFICATION";"";"";"Notificación"
"NOTIF_HEADER_PROPOSAL_ENACTED";"";"";"Propuesta aprobada"
"NOTIF_HEADER_REMOVED_FROM_COMMUNITY";"";"";"Te han sacado de la comunidad"
"NOTIF_HEADER_REWARD_ASSIGNED";"";"";"Recompensa asignada"
"NOTIF_HEADER_REWARD_IN_PROGRESS";"";"";"Recompensa en curso"
"NOTIF_HEADER_ROYALTIES_EARNED";"";"";"Regalías ganadas"
"NOTIF_HEADER_VOTING_ENDED";"";"";"Votación finalizada"
"NOTIF_HEADER_WORLD_ACCESS_RESTORED";"";"";"Acceso al World restaurado"
"NOTIF_HEADER_WORLD_ACCESS_RESTRICTED";"";"";"Acceso al World restringido"
"NOTIF_HEADER_WORLD_MISSING_RESOURCES";"";"";"Faltan recursos en el World"
"NOTIF_HEADER_WORLD_PERMISSION_GRANTED";"";"";"Permiso de World concedido"
"NOTIF_HEADER_WORLD_PERMISSION_REVOKED";"";"";"Permiso de World revocado"
"NOTIF_HEADER_YOUR_COMMUNITY_HAS_BEEN_DELETED";"";"";"Tu comunidad ha sido eliminada"
"NOTIF_LOCAL_BODY_DONT_MISS_ACTION";"";"";"¡No te pierdas la acción!"
"NOTIF_LOCAL_BODY_DRESS_UP";"";"";"Arréglate y sé el alma de la fiesta"
"NOTIF_LOCAL_BODY_GANG_AWAITS";"";"";"¡Tu gente te espera, entra y a disfrutar!"
"NOTIF_LOCAL_BODY_GATHER_YOUR_CREW";"";"";"¡Reúne a tu equipo y deja tu huella!"
"NOTIF_LOCAL_BODY_HOP_IN";"";"";"¡Entra y no te pierdas nada!"
"NOTIF_LOCAL_BODY_JOIN_YOUR_FRIENDS";"";"";"¡Únete a tus amigos y conoce gente!"
"NOTIF_LOCAL_BODY_MEET_YOUR_PEOPLE";"";"";"Únete y conoce a tu gente"
"NOTIF_LOCAL_EVENT_BEGINS";"";"";"¡{event} comienza!"
"NOTIF_LOCAL_EVENT_IS_LIVE";"";"";"¡{event} está en directo!"
"NOTIF_LOCAL_EVENT_IS_ON";"";"";"¡{event} ya está aquí!"
"NOTIF_LOCAL_EVENT_IS_STARTING";"";"";"¡{event} está empezando!"
"NOTIF_LOCAL_EVENT_STARTED";"";"";"¡{event} ha empezado!"
"NOTIF_TITLE_ACCEPTED_YOUR_FRIEND_REQUEST";"";"";"ha aceptado tu solicitud de amistad."
"NOTIF_TITLE_ACCEPTED_YOUR_FRIEND_REQUEST_2";"";"";"[color=#{color}]{name} [color=#ECEBED]ha aceptado tu solicitud de amistad."
"NOTIF_TITLE_ACCEPTED_YOUR_FRIEND_REQUEST_3";"";"";"[color=#{color}]{name}[color=#A09BA8]#{tag} [color=#ECEBED]ha aceptado tu solicitud de amistad."
"NOTIF_TITLE_AN_EVENT_HAS_ENDED";"";"";"Un evento ha finalizado"
"NOTIF_TITLE_AN_EVENT_HAS_STARTED";"";"";"Un evento ha comenzado"
"NOTIF_TITLE_A_PROPOSAL_HAS_BEEN_ENACTED";"";"";"Se ha aprobado una propuesta"
"NOTIF_TITLE_COMMUNITY_RENAMED";"";"";"La comunidad [b][{old_name}][/b] ha pasado a llamarse [b][{new_name}][/b]."
"NOTIF_TITLE_CONGRATS_YOURE_NOW_A_MEMBER_OF";"";"";"¡Enhorabuena! Ya eres miembro de la comunidad [b][{community}][/b]."
"NOTIF_TITLE_EXPLORE_DECENTRALAND_AND_EARN_REWARDS";"";"";"¡Explora Decentraland y consigue recompensas!"
"NOTIF_TITLE_LAND_UPDATE_NOTIFICATION";"";"";"Notificación de novedades de LAND"
"NOTIF_TITLE_NEW_GOVERNANCE_ANNOUNCEMENT";"";"";"Nuevo anuncio de gobernanza"
"NOTIF_TITLE_THE_COMMUNITY_HAS_ADDED_A_NEW";"";"";"La comunidad [b][{community}][/b] ha añadido un nuevo evento."
"NOTIF_TITLE_THE_COMMUNITY_HAS_BEEN_DELETED";"";"";"La comunidad [b][{community}][/b] ha sido eliminada."
"NOTIF_TITLE_THE_COMMUNITY_WAS_DELETED_FOR_VIOLATING";"";"";"La comunidad [b][{community}][/b] ha sido eliminada por incumplir las Normas de Decentraland."
"NOTIF_TITLE_UNKNOWN_COMMUNITY";"";"";"Comunidad desconocida"
"NOTIF_TITLE_VOTING_HAS_ENDED";"";"";"La votación ha finalizado"
"NOTIF_TITLE_WANTS_TO_BE_YOUR_FRIEND";"";"";"quiere ser tu amigo."
"NOTIF_TITLE_WANTS_TO_BE_YOUR_FRIEND_2";"";"";"[color=#{color}]{name} [color=#ECEBED]quiere ser tu amigo."
"NOTIF_TITLE_WANTS_TO_BE_YOUR_FRIEND_3";"";"";"[color=#{color}]{name}[color=#A09BA8]#{tag} [color=#ECEBED]quiere ser tu amigo."
"NOTIF_TITLE_WANTS_TO_JOIN_THE_COMMUNITY";"";"";"[b]{name}[/b] quiere unirse a la comunidad [b]{community}[/b]."
"NOTIF_TITLE_WORLD_PERMISSION_GRANTED";"";"";"Permiso de World concedido"
"NOTIF_TITLE_WORLD_PERMISSION_REVOKED";"";"";"Permiso de World revocado"
"NOTIF_TITLE_YOUR_REWARD_IS_IN_PROGRESS";"";"";"Tu recompensa está en curso"
"NOTIF_TITLE_YOUR_WORLD_ACCESS_HAS_BEEN_RESTORED";"";"";"Se ha restaurado tu acceso al World"
"NOTIF_TITLE_YOUR_WORLD_ACCESS_HAS_BEEN_RESTRICTED";"";"";"Se ha restringido tu acceso al World"
"NOTIF_TITLE_YOUR_WORLD_IS_MISSING_RESOURCES";"";"";"A tu World le faltan recursos"
"NOTIF_TITLE_YOUVE_BEEN_ASSIGNED_A_REWARD";"";"";"Se te ha asignado una recompensa"
"NOTIF_TITLE_YOUVE_BEEN_BANNED_FROM_THE_COMMUNITY";"";"";"Te han baneado de la comunidad [b][{community}][/b]."
"NOTIF_TITLE_YOUVE_BEEN_INVITED_TO_JOIN_THE";"";"";"Te han invitado a unirte a la comunidad [b][{community}][/b]."
"NOTIF_TITLE_YOUVE_BEEN_REMOVED_FROM_THE_COMMUNITY";"";"";"Te han sacado de la comunidad [b][{community}][/b]."
"NOTIF_TITLE_YOUVE_BEEN_REQUESTED_AS_CO_AUTHOR";"";"";"Te han propuesto como coautor"
"NOTIF_TITLE_YOUVE_UNLOCKED_A_NEW_BADGE";"";"";"¡Has desbloqueado una nueva insignia!"
"OTP_CODE_INCORRECT";"";"";"Ese código no ha funcionado. Compruébalo e inténtalo de nuevo."
"OTP_CODE_SENT_TO";"";"";"Hemos enviado un código a {email}"
"PLACE_DOWNLOAD_WARNING";"";"";"Puede descargar hasta {megabytes} MB de datos"
"PLACE_DURATION_DAY";"PLACE_DURATION_DAY_PLURAL";"";"{days} DÍA"
"";"";"";"{days} DÍAS"
"PLACE_DURATION_HR";"PLACE_DURATION_HR_PLURAL";"";"{hours} H"
"";"";"";"{hours} H"
"PLACE_DURATION_MIN";"PLACE_DURATION_MIN_PLURAL";"";"{minutes} MIN"
"";"";"";"{minutes} MIN"
"POPUP_WARNING_LOAD_THE_SCENES_ARROUND_YOU";"";"";"Cargar las scenes que te rodean"
"POPUP_WARNING_PENDING_SCENES";"";"";"[center]Tienes scenes pendientes de cargar. Para mantener una experiencia fluida, la carga solo se hará cuando cambies de scene. Si prefieres cargarlas ahora mismo, pulsa el botón [b]Actualizar[/b] en la parte superior izquierda de la pantalla, con el icono [img]res://assets/ui/Reset.png[/img]"
"PROFILE_ABOUT_ME";"";"";"Sobre mí"
"PROFILE_ADD_FRIEND";"";"";"AÑADIR AMIGO"
"PROFILE_ADD_LINK";"";"";"Añadir enlace"
"PROFILE_ADD_LINK_CAPS";"";"";"AÑADIR ENLACE"
"PROFILE_ADD_UP_TO_5_LINKS_TO";"";"";"Añade hasta 5 enlaces a tu web o a tus perfiles sociales."
"PROFILE_BASE";"";"";"BASE"
"PROFILE_BLOCK";"";"";"Bloquear"
"PROFILE_CANCEL_REQUEST";"";"";"CANCELAR SOLICITUD"
"PROFILE_COUNTRY";"";"";"País"
"PROFILE_DESCRIBE_YOURSELF_IN_A_FEW_WORDS";"";"";"Descríbete en pocas palabras."
"PROFILE_DESCRIPTION";"";"";"Descripción"
"PROFILE_EDIT_PROFILE";"";"";"Editar perfil"
"PROFILE_EDIT_PROFILE_CAPS";"";"";"EDITAR PERFIL"
"PROFILE_EMPLOYMENT_STATUS";"";"";"Situación laboral"
"PROFILE_EQUIPPED";"";"";"equipado"
"PROFILE_E_G_INSTAGRAM";"";"";"p. ej. Instagram"
"PROFILE_FRIEND";"";"";"AMIGO"
"PROFILE_GENDER";"";"";"Género"
"PROFILE_GENDER_AGENDER";"";"";"Agénero"
"PROFILE_GENDER_FEMALE";"";"";"Mujer"
"PROFILE_GENDER_FLUID";"";"";"Fluido"
"PROFILE_GENDER_MALE";"";"";"Hombre"
"PROFILE_GENDER_NEUTRAL";"";"";"Neutro"
"PROFILE_GENDER_NON_BINARY";"";"";"No binario"
"PROFILE_GENDER_OTHER";"";"";"Otro"
"PROFILE_GENDER_PANGENDER";"";"";"Pangénero"
"PROFILE_GENDER_QUEER";"";"";"Queer"
"PROFILE_GENDER_TRANSGENDER";"";"";"Transgénero"
"PROFILE_GENDER_TWO_SPIRIT";"";"";"Two-Spirit"
"PROFILE_HOBBY";"";"";"Afición"
"PROFILE_HOBBY_CAPS";"";"";"AFICIÓN"
"PROFILE_LANGUAGE";"";"";"Idioma"
"PROFILE_LINK";"";"";"Enlace"
"PROFILE_LINKS";"";"";"Enlaces"
"PROFILE_LINKS_CAPS";"";"";"ENLACES"
"PROFILE_LINK_TITLE";"";"";"Título del enlace"
"PROFILE_LINK_URL_HTTPS";"";"";"URL del enlace (""https://"")"
"PROFILE_MUTE_CHAT";"";"";"Silenciar chat"
"PROFILE_ORIENTATION_ASEXUAL";"";"";"Asexual"
"PROFILE_ORIENTATION_BISEXUAL";"";"";"Bisexual"
"PROFILE_ORIENTATION_GAY";"";"";"Gay"
"PROFILE_ORIENTATION_HETEROSEXUAL";"";"";"Heterosexual"
"PROFILE_ORIENTATION_LESBIAN";"";"";"Lesbiana"
"PROFILE_ORIENTATION_OTHER";"";"";"Otra"
"PROFILE_ORIENTATION_PANSEXUAL";"";"";"Pansexual"
"PROFILE_ORIENTATION_POLYSEXUAL";"";"";"Polisexual"
"PROFILE_ORIENTATION_QUEER";"";"";"Queer"
"PROFILE_PENDING";"";"";"PENDIENTE"
"PROFILE_PROFESSION";"";"";"Profesión"
"PROFILE_PRONOUNS";"";"";"Pronombres"
"PROFILE_PRONOUN_HE_HIM";"";"";"Él"
"PROFILE_PRONOUN_OTHER";"";"";"Otro"
"PROFILE_PRONOUN_PER_PER";"";"";"Per / Per"
"PROFILE_PRONOUN_SHE_HER";"";"";"Ella"
"PROFILE_PRONOUN_THEY_THEM";"";"";"Elle"
"PROFILE_PRONOUN_XE_XEM";"";"";"Xe / Xem"
"PROFILE_PRONOUN_ZE_HIR";"";"";"Ze / Hir"
"PROFILE_PRONOUN_ZE_ZIR";"";"";"Ze / Zir"
"PROFILE_REAL_NAME";"";"";"Nombre real"
"PROFILE_RELATIONSHIP";"";"";"Relación"
"PROFILE_RELATIONSHIP_DIVORCED";"";"";"Divorciado/a"
"PROFILE_RELATIONSHIP_ENGAGED";"";"";"Comprometido/a"
"PROFILE_RELATIONSHIP_IN_AN_OPEN_RELATIONSHIP";"";"";"En una relación abierta"
"PROFILE_RELATIONSHIP_IN_A_RELATIONSHIP";"";"";"En una relación"
"PROFILE_RELATIONSHIP_IT_S_COMPLICATED";"";"";"Es complicado"
"PROFILE_RELATIONSHIP_MARRIED";"";"";"Casado/a"
"PROFILE_RELATIONSHIP_OTHER";"";"";"Otra"
"PROFILE_RELATIONSHIP_SEPARATED";"";"";"Separado/a"
"PROFILE_RELATIONSHIP_SINGLE";"";"";"Soltero/a"
"PROFILE_RELATIONSHIP_STATUS";"";"";"Estado sentimental"
"PROFILE_RELATIONSHIP_WIDOWED";"";"";"Viudo/a"
"PROFILE_SAVE";"";"";"GUARDAR"
"PROFILE_SEE_LESS";"";"";"VER MENOS"
"PROFILE_SEE_MORE";"";"";"VER MÁS"
"PROFILE_SELECT";"";"";"Seleccionar"
"PROFILE_SEXUAL_ORIENTATION";"";"";"Orientación sexual"
"PROFILE_UNBLOCK";"";"";"Desbloquear"
"PROFILE_UNFRIEND";"";"";"Eliminar de amigos"
"PROFILE_UNMUTE_CHAT";"";"";"Activar sonido del chat"
"PROFILE_USE_THIS_SPACE_TO_DESCRIBE_YOURSELF";"";"";"Usa este espacio para describirte en pocas palabras."
"PROFILE_VIEW";"";"";"VER"
"PROFILE_WRITE_HERE";"";"";"Escribe aquí"
"REWARD_ALREADY_OWNED";"";"";"Ya tienes esta recompensa."
"REWARD_CLAIM_FAILED";"";"";"Algo ha salido mal al reclamar tu recompensa. Inténtalo de nuevo."
"REWARD_ERROR_INVALID_RESPONSE";"";"";"Respuesta no válida del servidor de recompensas."
"REWARD_ERROR_SERVER_UNREACHABLE";"";"";"Error al conectar con el servidor de recompensas."
"REWARD_ERROR_WALLET_REQUIRED";"";"";"Debes tener una billetera conectada para reclamar recompensas."
"REWARD_MODAL_CLAIMED";"";"";"RECLAMADA"
"REWARD_MODAL_CLAIM_REWARD";"";"";"RECLAMAR RECOMPENSA"
"REWARD_MODAL_YOURE_ALL_SET";"";"";"Todo listo"
"REWARD_MODAL_YOUR_EMAIL_HAS_BEEN_VERIFIED_ENJOY";"";"";"Tu email se ha verificado. 
¡Disfruta del Wearable gratuito!"
"REWARD_MODAL_YOU_ALREADY_HAVE_THIS_REWARD";"";"";"Ya tienes esta recompensa."
"REWARD_NOT_AVAILABLE";"";"";"Esta recompensa no está disponible ahora mismo."
"REWARD_OUT_OF_STOCK";"";"";"Esta recompensa está agotada."
"REWARD_SESSION_UNVERIFIED";"";"";"No hemos podido verificar tu sesión. Inténtalo de nuevo en un momento."
"SETTINGS_ACCOUNT";"";"";"Cuenta"
"SETTINGS_ADJUSTS_GRAPHICS_AUTOMATICALLY_FOR_OPTIMAL_PERFORMANCE";"";"";"Ajusta los gráficos automáticamente para obtener el mejor rendimiento."
"SETTINGS_AUDIO";"";"";"Audio"
"SETTINGS_AVATAR_EMOTE";"";"";"Avatar y Emotes"
"SETTINGS_CACHE_SIZE_GB";"";"";"{size} GB"
"SETTINGS_CACHE_SIZE_MB";"";"";"{size} MB"
"SETTINGS_CAMERA";"";"";"CÁMARA"
"SETTINGS_CAMERA_FIRST_PERSON";"";"";"Primera persona"
"SETTINGS_CAMERA_THIRD_PERSON";"";"";"Tercera persona"
"SETTINGS_CHAT_SOCIAL";"";"";"CHAT Y SOCIAL"
"SETTINGS_CLEAN_CACHE";"";"";"VACIAR CACHÉ"
"SETTINGS_CLEARS_DOWNLOADED_FILES_USED_TO_SPEED";"";"";"Borra los archivos descargados que aceleran la carga. Se pueden eliminar sin problema."
"SETTINGS_CLOSE_CHAT_AFTER_SENDING";"";"";"Cerrar el chat al enviar"
"SETTINGS_CONTENT_POLICY";"";"";"Política de Contenido"
"SETTINGS_CURRENT_CACHE_SIZE";"";"";"Tamaño actual de la caché"
"SETTINGS_CUSTOM_SKYBOX";"";"";"Skybox personalizado"
"SETTINGS_DELETE_ACCOUNT";"";"";"Eliminar cuenta"
"SETTINGS_DEV_TOOLS";"";"";"Herramientas de desarrollo"
"SETTINGS_DEV_TOOLS_CAPS";"";"";"HERRAMIENTAS DE DESARROLLO"
"SETTINGS_DISCORD";"";"";"Discord"
"SETTINGS_DYNAMIC_GRAPHICS";"";"";"Gráficos dinámicos"
"SETTINGS_DYNAMIC_SKYBOX";"";"";"Skybox dinámico"
"SETTINGS_FAST_DAY_NIGHT_CYCLE_10S";"";"";"Ciclo día/noche rápido (10 s)"
"SETTINGS_GAMEPLAY";"";"";"Juego"
"SETTINGS_GRAPHICS";"";"";"Gráficos"
"SETTINGS_GRAPHICS_PROFILE";"";"";"Perfil gráfico"
"SETTINGS_GRAPHIC_PROFILE";"";"";"Perfil gráfico"
"SETTINGS_GRAPHIC_PROFILE_CUSTOM";"";"";"Personalizado"
"SETTINGS_GRAPHIC_PROFILE_HIGH";"";"";"Alto"
"SETTINGS_GRAPHIC_PROFILE_LOW";"";"";"Bajo"
"SETTINGS_GRAPHIC_PROFILE_MEDIUM";"";"";"Medio"
"SETTINGS_GRAPHIC_PROFILE_VERY_LOW";"";"";"Muy bajo"
"SETTINGS_HELP";"";"";"Ayuda"
"SETTINGS_HELP_CAPS";"";"";"AYUDA"
"SETTINGS_HIDE_INTERACTION_PROMPTS";"";"";"Ocultar avisos de interacción"
"SETTINGS_HIDE_INTERFACE";"";"";"Ocultar la interfaz"
"SETTINGS_HIDE_PLAYER_NAMES";"";"";"Ocultar nombres de jugadores"
"SETTINGS_HIDE_SCENE_INTERFACE";"";"";"Ocultar la interfaz de la scene"
"SETTINGS_HIDE_THE_ON_SCREEN_INTERFACE_TO";"";"";"Oculta la interfaz en pantalla para hacer capturas limpias"
"SETTINGS_HIDE_VIEW_PROFILE";"";"";"Ocultar ""Ver perfil"""
"SETTINGS_INTERFACE";"";"";"Interfaz"
"SETTINGS_INTERFACE_CAPS";"";"";"INTERFAZ"
"SETTINGS_LANGUAGE";"";"";"Idioma"
"SETTINGS_LANGUAGE_CAPS";"";"";"IDIOMA"
"SETTINGS_LANGUAGE_DESCRIPTION";"";"";"El idioma que se usa en toda la interfaz de la app."
"SETTINGS_MAX_ACTIVE_LIGHTS";"";"";"Máximo de luces activas"
"SETTINGS_MAX_CACHE_SIZE";"";"";"Tamaño máximo de la caché"
"SETTINGS_MIC_AMPLIFICATION";"";"";"Amplificación del micrófono"
"SETTINGS_MULTIPLAYER_DEBUG";"";"";"Depuración multijugador"
"SETTINGS_MUSIC_AMBIENT";"";"";"Música y ambiente"
"SETTINGS_OPEN_USER_DATA_FOLDER";"";"";"Abrir la carpeta de datos del usuario"
"SETTINGS_PARTICLES";"";"";"Partículas"
"SETTINGS_PARTICLES_OFF";"";"";"Desactivadas"
"SETTINGS_PERFORMANCE";"";"";"RENDIMIENTO"
"SETTINGS_PRIVACY_POLICY";"";"";"Política de Privacidad"
"SETTINGS_PROCESS_TICK_QUOTA";"";"";"Cuota de ticks de proceso"
"SETTINGS_RAYCAST_DEBUGGER";"";"";"Depurador de raycast"
"SETTINGS_REALM";"";"";"Realm"
"SETTINGS_REPORT";"";"";"REPORTAR"
"SETTINGS_REPORT_BUG";"";"";"Reportar un error"
"SETTINGS_REPORT_CONTENT";"";"";"Reportar contenido"
"SETTINGS_RESET_ALL";"";"";"RESTABLECER TODO"
"SETTINGS_RETURN_TO_DISCOVER";"";"";"VOLVER A DESCUBRIR"
"SETTINGS_RUN_AVATAR_IMPOSTOR_BENCHMARK";"";"";"Ejecutar benchmark de impostores de avatar"
"SETTINGS_SCENE";"";"";"Scene"
"SETTINGS_SCENE_LOGS_ENABLED";"";"";"Registros de scene activados"
"SETTINGS_SCENE_PAUSED";"";"";"Scene en pausa"
"SETTINGS_SETS_A_GRAPHICS_QUALITY_PRESET_FOR";"";"";"Define un preajuste de calidad gráfica para tu dispositivo."
"SETTINGS_SETS_HOW_MUCH_STORAGE_THE_APP";"";"";"Define cuánto almacenamiento puede usar la app."
"SETTINGS_SETTINGS";"";"";"Ajustes"
"SETTINGS_SHOP";"";"";"Tienda"
"SETTINGS_SHOW_INTERACTABLE_AREA";"";"";"Mostrar el área interactiva"
"SETTINGS_SHOW_REWARD_MODAL_MOBILEPET";"";"";"Mostrar modal de recompensa (MobilePet)"
"SETTINGS_SKYBOX_AFTERNOON";"";"";"Tarde"
"SETTINGS_SKYBOX_MIDDAY";"";"";"Mediodía"
"SETTINGS_SKYBOX_MIDNIGHT";"";"";"Medianoche"
"SETTINGS_SKYBOX_MORNING";"";"";"Mañana"
"SETTINGS_STORAGE";"";"";"Almacenamiento"
"SETTINGS_TEMPORARY_FILES";"";"";"ARCHIVOS TEMPORALES"
"SETTINGS_TERMS_OF_USE";"";"";"Términos de Uso"
"SETTINGS_TEST_NOTIFICATION_WITH_EMOJIS";"";"";"Notificación de prueba con emojis"
"SETTINGS_THE_CAMERA_MODE_IS_SET_BY";"";"";"El modo de cámara lo define el creador. No se puede cambiar."
"SETTINGS_THE_SKYBOX_IS_SET_BY_THE";"";"";"El skybox lo define el creador. No se puede cambiar."
"SETTINGS_THE_SKY_CHANGES_OVER_TIME_AS";"";"";"El cielo cambia con el tiempo mientras juegas."
"SETTINGS_URL";"";"";"URL"
"SETTINGS_VIEW_DISTANCE";"";"";"Distancia de vista"
"SETTINGS_VISUAL";"";"";"VISUAL"
"SETTINGS_VOICE_CHAT";"";"";"Chat de voz"
"SETTINGS_VOLUME";"";"";"VOLUMEN"
"SETTINGS_WEBSOCKET_STATE";"";"";"Estado del WebSocket:"
"SETTINGS_WEBSOCKET_URL";"";"";"URL del WebSocket"
"SHARE_EVENT_MESSAGE";"";"";"📍 Visita el evento '{event}' con este enlace: {link}"
"SHARE_PLACE_MESSAGE";"";"";"📍 Únete a mí en {place} con este enlace: {link}"
"SHARE_SCENE_MESSAGE";"";"";"📍 Únete a mí en {scene} con este enlace: {link}"
"SNAP_CAROUSEL_RECOMMENDED_PLACES";"";"";"LUGARES RECOMENDADOS"
"SOCIAL_ITEM_ADD_FRIEND";"";"";"AÑADIR AMIGO"
"SOCIAL_ITEM_PENDING";"";"";"PENDIENTE"
"SOCIAL_ITEM_SOMEWHERE";"";"";"En algún lugar"
"SOCIAL_ITEM_UNBLOCK";"";"";"DESBLOQUEAR"
"SOCIAL_ITEM_UNKNOWN_LOCATION";"";"";"Ubicación desconocida"
"SOCIAL_MUTUAL_FRIENDS";"SOCIAL_MUTUAL_FRIENDS_PLURAL";"";"{friends} amigo en común"
"";"";"";"{friends} amigos en común"
"TIP_CARD_FORMAT";"";"";"[b]Consejo:[/b] {tip}"
"TIP_CARD_PLACEHOLDER";"";"";"[b]Consejo:[/b] Explora miles de scenes creadas por gente de todo el mundo."
"TIP_CREATOR_HUB";"";"";"Usa el Creator Hub para crear tus propios lugares y experiencias."
"TIP_EMOTES";"";"";"Usa los Emotes para saludar, reaccionar o celebrar. Toca el icono de Emote para abrir la rueda de Emotes."
"TIP_FRIENDS";"";"";"Decentraland es mejor con amigos. Conoce gente nueva y descubre dónde se reúnen."
"TIP_WEARABLES";"";"";"Los Wearables definen tu aspecto con el tiempo. Creados por la comunidad."
"TOAST_ADDRESS_COPIED";"";"";"Dirección copiada al portapapeles"
"TOAST_BLOCK_FAILED";"";"";"No se ha podido bloquear"
"TOAST_BUG_REPORT_FAILED_TITLE";"";"";"No se pudo enviar el reporte"
"TOAST_COPIED";"";"";"Copiado"
"TOAST_NAME_COPIED";"";"";"Nombre copiado al portapapeles"
"TOAST_POOR_CONNECTION_BODY";"";"";"Tu conexión es inestable. Puede que algunas funciones no vayan bien."
"TOAST_POOR_CONNECTION_TITLE";"";"";"Conexión deficiente"
"TOAST_UNBLOCK_FAILED";"";"";"No se ha podido desbloquear"
